time_s,t_rel_s,V_measured,V_estimated,error_V,rmse_V,Current(A),cycle,step,pulse_no
4096.628,24.95799999999963,3.271009,3.294011956239945,0.02300295623994497,0.019282497349396462,-74.99888,1,4,1
4097.63,25.960000000000036,3.2693,3.2928718881628742,0.023571888162874366,0.019282497349396462,-74.999005,1,4,1
4098.628,26.95799999999963,3.267632,3.2917789802592643,0.024146980259264428,0.019282497349396462,-74.998946,1,4,1
4099.63,27.960000000000036,3.26601,3.290722553516271,0.024712553516271107,0.019282497349396462,-74.998898,1,4,1
4100.629,28.958999999999833,3.264431,3.2897083089617176,0.025277308961717537,0.019282497349396462,-74.998959,1,4,1
4101.632,29.961999999999534,3.262885,3.2887275843270003,0.025842584327000484,0.019282497349396462,-74.998949,1,4,1
7752.629,0.0,3.340771,3.3407710000000033,3.1086244689504383e-15,0.0118756274024427,-74.995026,1,9,2
7753.627,0.998000000000502,3.303994,3.325326195188768,0.021332195188767944,0.0118756274024427,-74.9977,1,9,2
7754.627,1.998000000000502,3.297443,3.3137723558864036,0.016329355886403718,0.0118756274024427,-74.998288,1,9,2
7755.627,2.998000000000502,3.292839,3.3050484387874888,0.012209438787488924,0.0118756274024427,-74.998478,1,9,2
7756.628,3.9989999999997963,3.288844,3.2983622132156,0.009518213215599758,0.0118756274024427,-74.998675,1,9,2
7757.627,4.998000000000502,3.285374,3.2931673359903377,0.007793335990337713,0.0118756274024427,-74.99865,1,9,2
7758.626,5.997000000000298,3.282282,3.2890453659361043,0.006763365936104382,0.0118756274024427,-74.998776,1,9,2
7759.616,6.98700000000008,3.279451,3.2857340198898957,0.006283019889895769,0.0118756274024427,-74.998813,1,9,2
7760.615,7.985999999999876,3.276822,3.282966355350772,0.006144355350771846,0.0118756274024427,-74.998756,1,9,2
7761.616,8.98700000000008,3.27437,3.2806212945898556,0.006251294589855849,0.0118756274024427,-74.998816,1,9,2
7762.615,9.985999999999876,3.272078,3.278600069085898,0.006522069085897808,0.0118756274024427,-74.998852,1,9,2
7763.617,10.988000000000284,3.269882,3.2768147537497283,0.006932753749728349,0.0118756274024427,-74.998934,1,9,2
7764.616,11.98700000000008,3.267793,3.2752197086729,0.007426708672899629,0.0118756274024427,-74.998914,1,9,2
7765.611,12.981999999999971,3.265805,3.2737741412666,0.00796914126660031,0.0118756274024427,-74.998821,1,9,2
7766.611,13.981999999999971,3.263895,3.2724356434104767,0.008540643410476445,0.0118756274024427,-74.998948,1,9,2
7767.609,14.980000000000473,3.262073,3.271192528564248,0.009119528564248025,0.0118756274024427,-74.999108,1,9,2
7768.611,15.981999999999971,3.260311,3.2700216337840327,0.009710633784032474,0.0118756274024427,-74.998913,1,9,2
7769.608,16.97900000000027,3.258628,3.268921614879072,0.010293614879071988,0.0118756274024427,-74.998936,1,9,2
7770.609,17.980000000000473,3.256999,3.267873624245154,0.010874624245154063,0.0118756274024427,-74.998896,1,9,2
7771.586,18.957000000000335,3.255428,3.266898895950922,0.011470895950921989,0.0118756274024427,-74.998924,1,9,2
7772.584,19.954999999999927,3.253899,3.2659472926944715,0.012048292694471385,0.0118756274024427,-74.998879,1,9,2
7773.584,20.954999999999927,3.25244,3.2650344870050194,0.012594487005019417,0.0118756274024427,-74.998919,1,9,2
7774.586,21.957000000000335,3.251029,3.2641575196059827,0.013128519605982714,0.0118756274024427,-74.998938,1,9,2
7775.584,22.954999999999927,3.249664,3.263318941440882,0.013654941440881974,0.0118756274024427,-74.998895,1,9,2
7776.586,23.957000000000335,3.248339,3.2625098740720184,0.014170874072018336,0.0118756274024427,-74.998903,1,9,2
7777.592,24.962999999999738,3.247069,3.261728867232318,0.014659867232317936,0.0118756274024427,-74.998707,1,9,2
7778.592,25.962999999999738,3.245833,3.260982004438113,0.015149004438112623,0.0118756274024427,-74.999883,1,9,2
7779.591,26.962000000000444,3.244641,3.2602638495224214,0.015622849522421323,0.0118756274024427,-74.998984,1,9,2
