Cycle No,Step No,Step name,Absolute time,soc
1,48,Rest,2025-10-29 20:52:51.796,0.0
1,48,Rest,2025-10-29 20:52:52.776,0.0
1,48,Rest,2025-10-29 20:52:53.775,0.0
1,48,Rest,2025-10-29 20:52:54.775,0.0
1,48,Rest,2025-10-29 20:52:55.774,0.0
1,48,Rest,2025-10-29 20:52:56.776,0.0
1,48,Rest,2025-10-29 20:52:57.775,0.0
1,48,Rest,2025-10-29 20:52:58.765,0.0
1,48,Rest,2025-10-29 20:52:59.764,0.0
1,48,Rest,2025-10-29 20:53:00.766,0.0
1,48,Rest,2025-10-29 20:53:01.765,0.0
1,48,Rest,2025-10-29 20:53:02.764,0.0
1,48,Rest,2025-10-29 20:53:03.766,0.0
1,48,Rest,2025-10-29 20:53:04.763,0.0
1,48,Rest,2025-10-29 20:53:05.759,0.0
1,48,Rest,2025-10-29 20:53:06.759,0.0
1,48,Rest,2025-10-29 20:53:07.760,0.0
1,48,Rest,2025-10-29 20:53:08.760,0.0
1,48,Rest,2025-10-29 20:53:09.759,0.0
1,48,Rest,2025-10-29 20:53:10.728,0.0
1,48,Rest,2025-10-29 20:53:11.726,0.0
1,48,Rest,2025-10-29 20:53:12.728,0.0
1,48,Rest,2025-10-29 20:53:13.725,0.0
1,48,Rest,2025-10-29 20:53:14.725,0.0
1,48,Rest,2025-10-29 20:53:15.728,0.0
1,48,Rest,2025-10-29 20:53:16.748,0.0
1,48,Rest,2025-10-29 20:53:17.747,0.0
1,48,Rest,2025-10-29 20:53:18.748,0.0
1,48,Rest,2025-10-29 20:53:19.747,0.0
1,48,Rest,2025-10-29 20:53:20.749,0.0
1,48,Rest,2025-10-29 20:53:21.748,0.0
1,48,Rest,2025-10-29 20:53:22.739,0.0
1,48,Rest,2025-10-29 20:53:23.739,0.0
1,48,Rest,2025-10-29 20:53:24.741,0.0
1,48,Rest,2025-10-29 20:53:25.739,0.0
1,48,Rest,2025-10-29 20:53:26.740,0.0
1,48,Rest,2025-10-29 20:53:27.740,0.0
1,48,Rest,2025-10-29 20:53:28.731,0.0
1,48,Rest,2025-10-29 20:53:29.728,0.0
1,48,Rest,2025-10-29 20:53:30.730,0.0
1,48,Rest,2025-10-29 20:53:31.729,0.0
1,48,Rest,2025-10-29 20:53:32.731,0.0
1,48,Rest,2025-10-29 20:53:33.728,0.0
1,48,Rest,2025-10-29 20:53:34.729,0.0
1,48,Rest,2025-10-29 20:53:35.731,0.0
1,48,Rest,2025-10-29 20:53:36.728,0.0
1,48,Rest,2025-10-29 20:53:37.728,0.0
1,48,Rest,2025-10-29 20:53:38.728,0.0
1,48,Rest,2025-10-29 20:53:39.729,0.0
1,48,Rest,2025-10-29 20:53:40.718,0.0
1,48,Rest,2025-10-29 20:53:41.718,0.0
1,48,Rest,2025-10-29 20:53:42.717,0.0
1,48,Rest,2025-10-29 20:53:43.717,0.0
1,48,Rest,2025-10-29 20:53:44.719,0.0
1,48,Rest,2025-10-29 20:53:45.718,0.0
1,48,Rest,2025-10-29 20:53:46.699,0.0
1,48,Rest,2025-10-29 20:53:47.700,0.0
1,48,Rest,2025-10-29 20:53:48.701,0.0
1,48,Rest,2025-10-29 20:53:49.699,0.0
1,48,Rest,2025-10-29 20:53:50.701,0.0
1,48,Rest,2025-10-29 20:53:51.700,0.0
1,48,Rest,2025-10-29 20:53:52.694,0.0
1,48,Rest,2025-10-29 20:53:53.693,0.0
1,48,Rest,2025-10-29 20:53:54.694,0.0
1,48,Rest,2025-10-29 20:53:55.693,0.0
1,48,Rest,2025-10-29 20:53:56.691,0.0
1,48,Rest,2025-10-29 20:53:57.693,0.0
1,48,Rest,2025-10-29 20:53:58.662,0.0
1,48,Rest,2025-10-29 20:53:59.659,0.0
1,48,Rest,2025-10-29 20:54:00.660,0.0
1,48,Rest,2025-10-29 20:54:01.661,0.0
1,48,Rest,2025-10-29 20:54:02.661,0.0
1,48,Rest,2025-10-29 20:54:03.661,0.0
1,48,Rest,2025-10-29 20:54:04.675,0.0
1,48,Rest,2025-10-29 20:54:05.674,0.0
1,48,Rest,2025-10-29 20:54:06.675,0.0
1,48,Rest,2025-10-29 20:54:07.674,0.0
1,48,Rest,2025-10-29 20:54:08.677,0.0
1,48,Rest,2025-10-29 20:54:09.676,0.0
1,48,Rest,2025-10-29 20:54:10.669,0.0
1,48,Rest,2025-10-29 20:54:11.669,0.0
1,48,Rest,2025-10-29 20:54:12.669,0.0
1,48,Rest,2025-10-29 20:54:13.666,0.0
1,48,Rest,2025-10-29 20:54:14.668,0.0
1,48,Rest,2025-10-29 20:54:15.668,0.0
1,48,Rest,2025-10-29 20:54:16.665,0.0
1,48,Rest,2025-10-29 20:54:17.666,0.0
1,48,Rest,2025-10-29 20:54:18.667,0.0
1,48,Rest,2025-10-29 20:54:19.667,0.0
1,48,Rest,2025-10-29 20:54:20.667,0.0
1,48,Rest,2025-10-29 20:54:21.663,0.0
1,48,Rest,2025-10-29 20:54:22.655,0.0
1,48,Rest,2025-10-29 20:54:23.655,0.0
1,48,Rest,2025-10-29 20:54:24.655,0.0
1,48,Rest,2025-10-29 20:54:25.653,0.0
1,48,Rest,2025-10-29 20:54:26.652,0.0
1,48,Rest,2025-10-29 20:54:27.653,0.0
1,48,Rest,2025-10-29 20:54:28.626,0.0
1,48,Rest,2025-10-29 20:54:29.623,0.0
1,48,Rest,2025-10-29 20:54:30.623,0.0
1,48,Rest,2025-10-29 20:54:31.623,0.0
1,48,Rest,2025-10-29 20:54:32.624,0.0
1,48,Rest,2025-10-29 20:54:33.622,0.0
1,48,Rest,2025-10-29 20:54:34.603,0.0
1,48,Rest,2025-10-29 20:54:35.602,0.0
1,48,Rest,2025-10-29 20:54:36.601,0.0
1,48,Rest,2025-10-29 20:54:37.604,0.0
1,48,Rest,2025-10-29 20:54:38.602,0.0
1,48,Rest,2025-10-29 20:54:39.601,0.0
1,48,Rest,2025-10-29 20:54:40.605,0.0
1,48,Rest,2025-10-29 20:54:41.949,0.0
1,48,Rest,2025-10-29 20:54:42.948,0.0
1,48,Rest,2025-10-29 20:54:43.948,0.0
1,48,Rest,2025-10-29 20:54:44.946,0.0
1,48,Rest,2025-10-29 20:54:45.948,0.0
1,48,Rest,2025-10-29 20:54:46.947,0.0
1,48,Rest,2025-10-29 20:54:47.909,0.0
1,48,Rest,2025-10-29 20:54:48.910,0.0
1,48,Rest,2025-10-29 20:54:49.911,0.0
1,48,Rest,2025-10-29 20:54:50.913,0.0
1,48,Rest,2025-10-29 20:54:51.909,0.0
1,48,Rest,2025-10-29 20:54:52.911,0.0
1,48,Rest,2025-10-29 20:54:53.904,0.0
1,48,Rest,2025-10-29 20:54:54.906,0.0
1,48,Rest,2025-10-29 20:54:55.904,0.0
1,48,Rest,2025-10-29 20:54:56.904,0.0
1,48,Rest,2025-10-29 20:54:57.905,0.0
1,48,Rest,2025-10-29 20:54:58.906,0.0
1,48,Rest,2025-10-29 20:54:59.948,0.0
1,48,Rest,2025-10-29 20:55:00.949,0.0
1,48,Rest,2025-10-29 20:55:01.951,0.0
1,48,Rest,2025-10-29 20:55:02.948,0.0
1,48,Rest,2025-10-29 20:55:03.948,0.0
1,48,Rest,2025-10-29 20:55:04.951,0.0
1,48,Rest,2025-10-29 20:55:05.937,0.0
1,48,Rest,2025-10-29 20:55:06.938,0.0
1,48,Rest,2025-10-29 20:55:07.937,0.0
1,48,Rest,2025-10-29 20:55:08.938,0.0
1,48,Rest,2025-10-29 20:55:09.940,0.0
1,48,Rest,2025-10-29 20:55:10.937,0.0
1,48,Rest,2025-10-29 20:55:11.928,0.0
1,48,Rest,2025-10-29 20:55:12.926,0.0
1,48,Rest,2025-10-29 20:55:13.926,0.0
1,48,Rest,2025-10-29 20:55:14.927,0.0
1,48,Rest,2025-10-29 20:55:15.928,0.0
1,48,Rest,2025-10-29 20:55:16.926,0.0
1,48,Rest,2025-10-29 20:55:17.906,0.0
1,48,Rest,2025-10-29 20:55:18.905,0.0
1,48,Rest,2025-10-29 20:55:19.904,0.0
1,48,Rest,2025-10-29 20:55:20.903,0.0
1,48,Rest,2025-10-29 20:55:21.902,0.0
1,48,Rest,2025-10-29 20:55:22.904,0.0
1,48,Rest,2025-10-29 20:55:23.903,0.0
1,48,Rest,2025-10-29 20:55:24.900,0.0
1,48,Rest,2025-10-29 20:55:25.903,0.0
1,48,Rest,2025-10-29 20:55:26.903,0.0
1,48,Rest,2025-10-29 20:55:27.903,0.0
1,48,Rest,2025-10-29 20:55:28.900,0.0
1,48,Rest,2025-10-29 20:55:29.881,0.0
1,48,Rest,2025-10-29 20:55:30.883,0.0
1,48,Rest,2025-10-29 20:55:31.881,0.0
1,48,Rest,2025-10-29 20:55:32.880,0.0
1,48,Rest,2025-10-29 20:55:33.882,0.0
1,48,Rest,2025-10-29 20:55:34.880,0.0
1,48,Rest,2025-10-29 20:55:35.870,0.0
1,48,Rest,2025-10-29 20:55:36.870,0.0
1,48,Rest,2025-10-29 20:55:37.872,0.0
1,48,Rest,2025-10-29 20:55:38.872,0.0
1,48,Rest,2025-10-29 20:55:39.869,0.0
1,48,Rest,2025-10-29 20:55:40.873,0.0
1,48,Rest,2025-10-29 20:55:41.869,0.0
1,48,Rest,2025-10-29 20:55:42.869,0.0
1,48,Rest,2025-10-29 20:55:43.871,0.0
1,48,Rest,2025-10-29 20:55:44.871,0.0
1,48,Rest,2025-10-29 20:55:45.870,0.0
1,48,Rest,2025-10-29 20:55:46.868,0.0
1,48,Rest,2025-10-29 20:55:47.853,0.0
1,48,Rest,2025-10-29 20:55:48.852,0.0
1,48,Rest,2025-10-29 20:55:49.852,0.0
1,48,Rest,2025-10-29 20:55:50.854,0.0
1,48,Rest,2025-10-29 20:55:51.851,0.0
1,48,Rest,2025-10-29 20:55:52.855,0.0
1,48,Rest,2025-10-29 20:55:53.840,0.0
1,48,Rest,2025-10-29 20:55:54.843,0.0
1,48,Rest,2025-10-29 20:55:55.841,0.0
1,48,Rest,2025-10-29 20:55:56.842,0.0
1,48,Rest,2025-10-29 20:55:57.843,0.0
1,48,Rest,2025-10-29 20:55:58.840,0.0
1,48,Rest,2025-10-29 20:55:59.833,0.0
1,48,Rest,2025-10-29 20:56:00.833,0.0
1,48,Rest,2025-10-29 20:56:01.832,0.0
1,48,Rest,2025-10-29 20:56:02.832,0.0
1,48,Rest,2025-10-29 20:56:03.832,0.0
1,48,Rest,2025-10-29 20:56:04.832,0.0
1,48,Rest,2025-10-29 20:56:05.823,0.0
1,48,Rest,2025-10-29 20:56:06.824,0.0
1,48,Rest,2025-10-29 20:56:07.823,0.0
1,48,Rest,2025-10-29 20:56:08.821,0.0
1,48,Rest,2025-10-29 20:56:09.823,0.0
1,48,Rest,2025-10-29 20:56:10.824,0.0
1,48,Rest,2025-10-29 20:56:12.101,0.0
1,48,Rest,2025-10-29 20:56:13.101,0.0
1,48,Rest,2025-10-29 20:56:14.101,0.0
1,48,Rest,2025-10-29 20:56:15.098,0.0
1,48,Rest,2025-10-29 20:56:16.099,0.0
1,48,Rest,2025-10-29 20:56:17.099,0.0
1,48,Rest,2025-10-29 20:56:18.073,0.0
1,48,Rest,2025-10-29 20:56:19.071,0.0
1,48,Rest,2025-10-29 20:56:20.071,0.0
1,48,Rest,2025-10-29 20:56:21.074,0.0
1,48,Rest,2025-10-29 20:56:22.074,0.0
1,48,Rest,2025-10-29 20:56:23.071,0.0
1,48,Rest,2025-10-29 20:56:24.095,0.0
1,48,Rest,2025-10-29 20:56:25.097,0.0
1,48,Rest,2025-10-29 20:56:26.095,0.0
1,48,Rest,2025-10-29 20:56:27.098,0.0
1,48,Rest,2025-10-29 20:56:28.098,0.0
1,48,Rest,2025-10-29 20:56:29.098,0.0
1,48,Rest,2025-10-29 20:56:30.062,0.0
1,48,Rest,2025-10-29 20:56:31.062,0.0
1,48,Rest,2025-10-29 20:56:32.061,0.0
1,48,Rest,2025-10-29 20:56:33.062,0.0
1,48,Rest,2025-10-29 20:56:34.064,0.0
1,48,Rest,2025-10-29 20:56:35.061,0.0
1,48,Rest,2025-10-29 20:56:36.062,0.0
1,48,Rest,2025-10-29 20:56:37.062,0.0
1,48,Rest,2025-10-29 20:56:38.060,0.0
1,48,Rest,2025-10-29 20:56:39.060,0.0
1,48,Rest,2025-10-29 20:56:40.060,0.0
1,48,Rest,2025-10-29 20:56:41.062,0.0
1,48,Rest,2025-10-29 20:56:42.066,0.0
1,48,Rest,2025-10-29 20:56:43.064,0.0
1,48,Rest,2025-10-29 20:56:44.067,0.0
1,48,Rest,2025-10-29 20:56:45.064,0.0
1,48,Rest,2025-10-29 20:56:46.066,0.0
1,48,Rest,2025-10-29 20:56:47.065,0.0
1,48,Rest,2025-10-29 20:56:48.066,0.0
1,48,Rest,2025-10-29 20:56:49.065,0.0
1,48,Rest,2025-10-29 20:56:50.064,0.0
1,48,Rest,2025-10-29 20:56:51.063,0.0
1,48,Rest,2025-10-29 20:56:52.066,0.0
1,48,Rest,2025-10-29 20:56:53.067,0.0
1,48,Rest,2025-10-29 20:56:54.033,0.0
1,48,Rest,2025-10-29 20:56:55.033,0.0
1,48,Rest,2025-10-29 20:56:56.033,0.0
1,48,Rest,2025-10-29 20:56:57.035,0.0
1,48,Rest,2025-10-29 20:56:58.034,0.0
1,48,Rest,2025-10-29 20:56:59.034,0.0
1,48,Rest,2025-10-29 20:57:00.058,0.0
1,48,Rest,2025-10-29 20:57:01.055,0.0
1,48,Rest,2025-10-29 20:57:02.056,0.0
1,48,Rest,2025-10-29 20:57:03.057,0.0
1,48,Rest,2025-10-29 20:57:04.057,0.0
1,48,Rest,2025-10-29 20:57:05.056,0.0
1,48,Rest,2025-10-29 20:57:06.025,0.0
1,48,Rest,2025-10-29 20:57:07.027,0.0
1,48,Rest,2025-10-29 20:57:08.024,0.0
1,48,Rest,2025-10-29 20:57:09.026,0.0
1,48,Rest,2025-10-29 20:57:10.027,0.0
1,48,Rest,2025-10-29 20:57:11.024,0.0
1,48,Rest,2025-10-29 20:57:12.027,0.0
1,48,Rest,2025-10-29 20:57:13.283,0.0
1,48,Rest,2025-10-29 20:57:14.281,0.0
1,48,Rest,2025-10-29 20:57:15.283,0.0
1,48,Rest,2025-10-29 20:57:16.280,0.0
1,48,Rest,2025-10-29 20:57:17.282,0.0
1,48,Rest,2025-10-29 20:57:18.281,0.0
1,48,Rest,2025-10-29 20:57:19.253,0.0
1,48,Rest,2025-10-29 20:57:20.254,0.0
1,48,Rest,2025-10-29 20:57:21.254,0.0
1,48,Rest,2025-10-29 20:57:22.255,0.0
1,48,Rest,2025-10-29 20:57:23.256,0.0
1,48,Rest,2025-10-29 20:57:24.254,0.0
1,48,Rest,2025-10-29 20:57:25.264,0.0
1,48,Rest,2025-10-29 20:57:26.266,0.0
1,48,Rest,2025-10-29 20:57:27.264,0.0
1,48,Rest,2025-10-29 20:57:28.267,0.0
1,48,Rest,2025-10-29 20:57:29.264,0.0
1,48,Rest,2025-10-29 20:57:30.264,0.0
1,48,Rest,2025-10-29 20:57:31.271,0.0
1,48,Rest,2025-10-29 20:57:32.272,0.0
1,48,Rest,2025-10-29 20:57:33.273,0.0
1,48,Rest,2025-10-29 20:57:34.270,0.0
1,48,Rest,2025-10-29 20:57:35.273,0.0
1,48,Rest,2025-10-29 20:57:36.271,0.0
1,48,Rest,2025-10-29 20:57:37.251,0.0
1,48,Rest,2025-10-29 20:57:38.253,0.0
1,48,Rest,2025-10-29 20:57:39.254,0.0
1,48,Rest,2025-10-29 20:57:40.252,0.0
1,48,Rest,2025-10-29 20:57:41.251,0.0
1,48,Rest,2025-10-29 20:57:42.252,0.0
1,48,Rest,2025-10-29 20:57:43.252,0.0
1,48,Rest,2025-10-29 20:57:43.481,0.0
1,48,Rest,2025-10-29 20:57:44.481,0.0
1,48,Rest,2025-10-29 20:57:45.480,0.0
