segment,mean,std,cell_id,pulse_no
early,0.01371945195570285,0.002870329845217249,Group0_150_0003_10_100,6
mid,0.004898243489316217,0.0014050990946183849,Group0_150_0003_10_100,6
late,0.0069694552646589565,0.0010132112268527761,Group0_150_0003_10_100,6
early,0.00608019810975465,0.0016282638256014705,Group0_150_0003_10_100,7
mid,0.0044215149583599,0.0011551583074168295,Group0_150_0003_10_100,7
late,0.008291239483175013,0.0009032721957085395,Group0_150_0003_10_100,7
early,0.0260942215765329,0.005698453113755485,Group0_150_0003_10_100,8
mid,0.006976139077862469,0.0034426631376518707,Group0_150_0003_10_100,8
late,0.007187930617377373,0.0009038890693105529,Group0_150_0003_10_100,8
early,0.0250988924366961,0.005500708583996818,Group0_150_0003_10_100,9
mid,0.006733439319522691,0.0034849816716368462,Group0_150_0003_10_100,9
late,0.006802005305676406,0.00108306087580232,Group0_150_0003_10_100,9
early,0.0217473868529742,0.002007564278523013,Group0_150_0004_10_100,1
mid,0.019106131786687807,0.0020951298572470926,Group0_150_0004_10_100,1
late,0.02169018276616912,0.002563118976268054,Group0_150_0004_10_100,1
early,0.009060362885681749,0.0012271341204761132,Group0_150_0004_10_100,2
mid,0.005989440158253517,0.0012244726783864912,Group0_150_0004_10_100,2
late,0.013492976400513463,0.0027875676240173273,Group0_150_0004_10_100,2
early,0.007081947494354534,0.0019205489209811488,Group0_150_0004_10_100,3
mid,0.004677218567712916,0.0012315790264994162,Group0_150_0004_10_100,3
late,0.01022389504456432,0.0017812914067558215,Group0_150_0004_10_100,3
early,0.011824720034426351,0.002389489023432371,Group0_150_0004_10_100,4
mid,0.004871678157436277,0.0010471869334457294,Group0_150_0004_10_100,4
late,0.008168299449681993,0.0011856146880516772,Group0_150_0004_10_100,4
early,0.013626012975566267,0.0040722853465000155,Group0_150_0004_10_100,5
mid,0.004789694381265246,0.0010586956335544419,Group0_150_0004_10_100,5
late,0.0071829405716037995,0.001098955203707706,Group0_150_0004_10_100,5
early,0.0089105431367264,0.00258511080202833,Group0_150_0004_10_100,6
mid,0.0041120662216306,0.0006171313945394935,Group0_150_0004_10_100,6
late,0.0070265330715904,0.0009526819458190134,Group0_150_0004_10_100,6
early,0.008269945108525,0.0016505095617343566,Group0_150_0004_10_100,7
mid,0.00393128554266055,0.0006804137833553709,Group0_150_0004_10_100,7
late,0.006890021336804644,0.0010435448849395329,Group0_150_0004_10_100,7
early,0.00613366675791345,0.001636656156539299,Group0_150_0004_10_100,8
mid,0.004404775246016667,0.00113665908757984,Group0_150_0004_10_100,8
late,0.008282097962852788,0.0009316473806897777,Group0_150_0004_10_100,8
early,0.015114114307415348,0.0031776153631022422,Group0_150_0004_10_100,9
mid,0.0049571922369415836,0.0017189285266985968,Group0_150_0004_10_100,9
late,0.00665453238127035,0.001087685447833156,Group0_150_0004_10_100,9
early,0.0316611708423937,0.00037246535525363385,Group0_150_0007_10_100,1
mid,0.019453307797307192,0.0040393428040963264,Group0_150_0007_10_100,1
late,0.021138705402093887,0.0026624203672480596,Group0_150_0007_10_100,1
early,0.019127006190248153,0.003502751578952574,Group0_150_0007_10_100,2
mid,0.008186346252572667,0.0017100083581047783,Group0_150_0007_10_100,2
late,0.014338271363221394,0.002787357399117574,Group0_150_0007_10_100,2
early,0.033074485898233,0.0072589702017788445,Group0_150_0007_10_100,3
mid,0.009119194406714338,0.004218061324589165,Group0_150_0007_10_100,3
late,0.010813699217333734,0.0016564545749382458,Group0_150_0007_10_100,3
early,0.017610106939245466,0.005280984733760649,Group0_150_0007_10_100,4
mid,0.00607134990878041,0.0013617583793250013,Group0_150_0007_10_100,4
late,0.008589672450863237,0.001217122605111828,Group0_150_0007_10_100,4
early,0.0177662542433192,0.0037575406497295932,Group0_150_0007_10_100,5
mid,0.006059084807050075,0.0019458296126312006,Group0_150_0007_10_100,5
late,0.00792427036566543,0.0010727906102694855,Group0_150_0007_10_100,5
early,0.015311966816409334,0.0045808463570108735,Group0_150_0007_10_100,6
mid,0.005548314609841509,0.0010991841228293832,Group0_150_0007_10_100,6
late,0.007641787097872687,0.0010497375449197246,Group0_150_0007_10_100,6
early,0.05300805106124225,0.009036781707853343,Group0_150_0007_10_100,7
mid,0.014968837098266907,0.009793519837225253,Group0_150_0007_10_100,7
late,0.0068753432163988,0.0007050239961890559,Group0_150_0007_10_100,7
early,0.0542336591566754,0.009125861208111357,Group0_150_0007_10_100,8
mid,0.015273998672621691,0.010048330157354185,Group0_150_0007_10_100,8
late,0.006922993212315069,0.0007039114485251804,Group0_150_0007_10_100,8
early,0.023099157097693647,0.005020482814291793,Group0_150_0007_10_100,9
mid,0.006717600402078575,0.0029581030949167347,Group0_150_0007_10_100,9
late,0.007637277844785969,0.0011226832594158946,Group0_150_0007_10_100,9
early,0.047012386793751054,0.0016250564480362415,Group0_150_0011_10_100,1
mid,0.02815033318345366,0.01025619052132095,Group0_150_0011_10_100,1
late,0.016615468520847266,0.0015872000419460866,Group0_150_0011_10_100,1
early,0.009562063350982166,0.002037820883763635,Group0_150_0011_10_100,2
mid,0.006258734042618509,0.0011755496032102041,Group0_150_0011_10_100,2
late,0.013673337794626093,0.0027987058030968298,Group0_150_0011_10_100,2
early,0.009531332472208368,0.002678237516891604,Group0_150_0011_10_100,3
mid,0.004994389671764383,0.00098380639521427,Group0_150_0011_10_100,3
late,0.010357992413942927,0.001819364539404864,Group0_150_0011_10_100,3
early,0.02643314754617785,0.005832991064789291,Group0_150_0011_10_100,4
