file,cycle,step,step_name,t_pre,t_post,t_fast,t_end,V_pre,V_post,V_fast,V_end,I_step,R0,R1,R2,C1,C2,duration_pre_post,duration_post_fast,duration_fast_end,cell,pulse_no,soc_pct,cell_id,rmse_V
RD_LFP_HPPC_REPT_Group0_150_0004_10_100,1,24,CC_DChg,18734.942,18734.969,18737.973,18765.259,3.331103,3.298133,3.26413,3.237685,-74.9979362,-0.0004396120969526,-0.0004533858093017,-0.0003526097028787,-6625.703624529087,-77383.00953499376,0.0270000000018626,3.004000000000815,27.28599999999642,RD_LFP_HPPC_REPT_Group0_150_0004_10_100,5,50,Group0_150_0004_10_100,0.007399569879102145
RD_LFP_HPPC_REPT_Group0_150_0004_10_100,1,29,CC_DChg,22415.429,22415.459,22418.44,22445.444,3.329078,3.288056,3.263326,3.237976,-74.9981752,-0.0005469733082252,-0.0003297413561603,-0.0003380082239654,-9040.418935349102,-79891.54726236145,0.0299999999988358,2.980999999999767,27.00400000000081,RD_LFP_HPPC_REPT_Group0_150_0004_10_100,6,60,Group0_150_0004_10_100,0.006252602823998678
RD_LFP_HPPC_REPT_Group0_150_0004_10_100,1,34,CC_DChg,26096.191,26096.222,26099.241,26126.202,3.328537,3.284102,3.262292,3.236936,-74.9976536,-0.0005924852027637,-0.0002908090980595,-0.0003380905772764,-10381.380844494208,-79744.90214188182,0.0310000000026775,3.019000000000233,26.96099999999933,RD_LFP_HPPC_REPT_Group0_150_0004_10_100,7,70,Group0_150_0004_10_100,0.005972933367947595
RD_LFP_HPPC_REPT_Group0_150_0004_10_100,1,39,CC_DChg,29776.576,29776.606,29778.606,29806.586,3.328333,3.282309,3.263559,3.235707,-74.9976582,-0.0006136724946433,-0.0002500078062437,-0.0003713715957067,-7999.750207999887,-75342.32645540661,0.0299999999988358,2.0,27.979999999999563,RD_LFP_HPPC_REPT_Group0_150_0004_10_100,8,80,Group0_150_0004_10_100,0.006804810207514383
RD_LFP_HPPC_REPT_Group0_150_0004_10_100,1,44,CC_DChg,33483.45,33483.478,33486.472,33512.691,3.327772,3.29424,3.261185,3.236018,-74.9979276,-0.0004471056877576,-0.0004407455120133,-0.0003355692724501,-6793.0357051673855,-78132.89878587918,0.0280000000057043,2.9939999999987776,26.21899999999732,RD_LFP_HPPC_REPT_Group0_150_0004_10_100,9,90,Group0_150_0004_10_100,0.007003749646585162
RD_LFP_HPPC_REPT_Group0_150_0007_10_100,1,4,CC_DChg,4020.771,4020.805,4024.802,4050.77,3.497125,3.45229,3.350843,3.270294,-74.99710400000001,-0.000597823083942,-0.0013526788981078,-0.0010740281384731,-2954.877174169976,-24178.137489875597,0.0339999999996507,3.9970000000002974,25.967999999999847,RD_LFP_HPPC_REPT_Group0_150_0007_10_100,1,10,Group0_150_0007_10_100,0.02119214007490351
RD_LFP_HPPC_REPT_Group0_150_0007_10_100,1,9,CC_DChg,7703.462,7703.492,7706.493,7733.406,3.398555,3.353343,3.303043,3.246657,-74.997785,-0.0006028444706733,-0.0006706864742738,-0.0007518355375428,-4474.519936083801,-35796.392503546216,0.0299999999997453,3.001000000000204,26.91299999999956,RD_LFP_HPPC_REPT_Group0_150_0007_10_100,2,20,Group0_150_0007_10_100,0.012682514536833089
RD_LFP_HPPC_REPT_Group0_150_0007_10_100,1,14,CC_DChg,11383.837,11383.861,11386.863,11413.819,3.356969,3.334888,3.268224,3.228131,-74.99768019999999,-0.0002944224400156,-0.0008888808270098,-0.0005345898685543,-3377.280630629645,-50423.701580605135,0.0240000000012514,3.0019999999985885,26.95600000000013,RD_LFP_HPPC_REPT_Group0_150_0007_10_100,3,30,Group0_150_0007_10_100,0.013109429887872103
RD_LFP_HPPC_REPT_Group0_150_0007_10_100,1,19,CC_DChg,15064.155,15064.186,15067.172,15094.114,3.336895,3.29155,3.24838,3.217202,-74.99772,-0.0006046183803987,-0.0005756174987719,-0.0004157193045335,-5187.472594858914,-64808.1522945642,0.0309999999990395,2.986000000000786,26.941999999999094,RD_LFP_HPPC_REPT_Group0_150_0007_10_100,4,40,Group0_150_0007_10_100,0.009180771667966397
RD_LFP_HPPC_REPT_Group0_150_0007_10_100,1,24,CC_DChg,18744.574,18744.605,18747.6,18774.531,3.330892,3.281848,3.243327,3.214798,-74.9978406,-0.0006539388282067,-0.0005136281217142,-0.0003803976190749,-5831.067017910286,-70796.97308698695,0.0309999999990395,2.9949999999989814,26.93100000000049,RD_LFP_HPPC_REPT_Group0_150_0007_10_100,5,50,Group0_150_0007_10_100,0.00832711417724546
